id,name,title,organization,groups,num_resources,formats,metadata_modified,license_id,url_portal,first_resource_url,first_resource_format,tema_principal,todos_los_temas,keywords_encontradas,notes_preview
3dda00fd-10bf-4725-b35d-0202281cb50f,recibos-vados-2020-2025,Rebuts guals 2020 - 2025,Ajuntament de València,"hacienda, transporte",1,CSV,2026-03-16,cc-by,https://opendata.vlci.valencia.es/dataset/recibos-vados-2020-2025,https://opendata.vlci.valencia.es/dataset/3dda00fd-10bf-4725-b35d-0202281cb50f/resource/9b53718d-2bf7-473c-89f3-7ba619b8f5d9/download/recibos-vados-2020-2025.csv,CSV,contexto,contexto,contexto=barri,"Número, per districte i barri, de rebuts i import classificats segons la personalitat jurídica "
876f5805-8b54-47f7-87d7-fbeb5ac38230,dataset_ivtm_2020-2025-cas,Rebuts IVTM 2020 al 2025,Ajuntament de València,"hacienda, transporte",1,CSV,2026-03-16,cc-by,https://opendata.vlci.valencia.es/dataset/dataset_ivtm_2020-2025-cas,https://opendata.vlci.valencia.es/dataset/876f5805-8b54-47f7-87d7-fbeb5ac38230/resource/7fc06232-c992-4886-8a83-df1f8e830344/download/dataset_ivtm_2020-2025-cas.csv,CSV,contexto,contexto,contexto=barri,"Nombre de rebuts i import classificats per districte i barri, per personalitat jurídica i per tipus de vehicle"
33f175fc-b444-41d0-9111-9ccebc4e4cf7,recibos-mesas-y-sillas-2020-2025,Rebuts taules i cadires 2020 - 2025,Ajuntament de València,hacienda,1,CSV,2026-03-16,cc-by,https://opendata.vlci.valencia.es/dataset/recibos-mesas-y-sillas-2020-2025,https://opendata.vlci.valencia.es/dataset/33f175fc-b444-41d0-9111-9ccebc4e4cf7/resource/a2656f3e-c9a3-4d4c-a1a4-7ee300e33999/download/recibos-mesas-y-sillas-2020-2025.csv,CSV,contexto,contexto,contexto=barri,"Nombre de rebuts i import, classificats per barris i personalitat jurídica, dels anys 2020 al 2025 No s'inclou l'any 2021 al no haver-se concedit matrícules per la pandèmia de la COVID"
1c661538-ddc3-4558-82b4-eac59c14cd05,recibos-ibi-2020-2025,Rebuts IBI 2021 - 2025,Ajuntament de València,sector-publico,1,CSV,2026-03-16,cc-by,https://opendata.vlci.valencia.es/dataset/recibos-ibi-2020-2025,https://opendata.vlci.valencia.es/dataset/1c661538-ddc3-4558-82b4-eac59c14cd05/resource/3ffd0260-5da4-4368-9ac6-053ddbc3af6b/download/recibos-ibi-2020-2025.csv,CSV,contexto,contexto,contexto=barri,Número i import del rebuts de l'Impost de Béns Immobles per districte i barri i segons la personalitat jurídica i el tipus d'activitat
573817da-39bd-4982-bb04-b5445027a278,recibos_iae_2020-2025,Rebuts IAE 2020-2025,Ajuntament de València,sector-publico,1,CSV,2026-03-16,cc-by,https://opendata.vlci.valencia.es/dataset/recibos_iae_2020-2025,https://opendata.vlci.valencia.es/dataset/573817da-39bd-4982-bb04-b5445027a278/resource/f9bdd60c-0fb8-4ed4-8d77-6c22a89e3e33/download/recibos_iae_2020-2025.csv,CSV,contexto,contexto,contexto=barri,"Nombre de rebuts i import de l'impost d'activitats econòmiques per districte i barri. Classificats per any, personalitat jurídica i tipus d'activitat"
cd1af774-f146-4087-b13d-c254a41b9623,seccions-censals-secciones-censales,Seccions censals,Ajuntament de València,urbanismo-infraestructuras,5,GEOJSON|HTML|JSON|KMZ|PBF,2026-02-25,cc-by,https://opendata.vlci.valencia.es/dataset/seccions-censals-secciones-censales,https://geoportal.valencia.es/server/rest/services/OPENDATA/UrbanismoEInfraestructuras/MapServer/210/query?where=1=1&outFields=*&f=json,JSON,contexto,contexto,"contexto=barri,demograf,població,población",Les Seccions Censals tenen un nombre màxim de població i diverses Seccions Censals formen un Barri.  * Coddistrit: Codi de districte. * Codsec: Codi de la secció. * Coddistsec : Codi del districte i la secció.    Font: Geoportal https://geoportal.valencia.es/apps/GeoportalHome/es/inicio/geodatos-abi
c8a4573c-64cb-4219-a129-e39e9f3c5b06,rutas-turismo-barrio,Rutes Turisme Barri,Ajuntament de València,turismo,5,GEOJSON|HTML|JSON|KMZ|PBF,2026-02-25,cc-by,https://opendata.vlci.valencia.es/dataset/rutas-turismo-barrio,https://geoportal.valencia.es/server/rest/services/OPENDATA/Turismo/MapServer/225/query?where=1=1&outFields=*&f=json,JSON,contexto,contexto,contexto=barri,"Localització dels recursos turístics dels barris desenrotllats pel programa turisme de barris, així com la ruta a través d'estos recursos.    Font: Geoportal https://geoportal.valencia.es/apps/GeoportalHome/es/inicio/geodatos-abiertos        "
4a400635-33ad-4353-9429-75595c8b330f,barris-policials-barrios-policiales,Barris Policials,Ajuntament de València,seguridad,5,GEOJSON|HTML|JSON|KMZ|PBF,2026-02-13,cc-by,https://opendata.vlci.valencia.es/dataset/barris-policials-barrios-policiales,https://geoportal.valencia.es/server/rest/services/OPENDATA/UrbanismoEInfraestructuras/MapServer/267/query?where=1=1&outFields=*&f=json,JSON,contexto,contexto,contexto=barri,Contenen les capes d'informació administrativa provinent del servici d'Urbanisme i Infraestructures d'Opendata referents a barris policials.    Font: Geoportal https://geoportal.valencia.es/apps/GeoportalHome/es/inicio/geodatos-abiertos  
284ab9fd-f5de-4650-b084-daca87761bd3,ambit-servicis-socials-ambito-servicios-sociales,Àmbit territorial servicis socials,Ajuntament de València,sociedad-bienestar,5,GEOJSON|HTML|JSON|KMZ|PBF,2026-02-12,cc-by,https://opendata.vlci.valencia.es/dataset/ambit-servicis-socials-ambito-servicios-sociales,https://geoportal.valencia.es/server/rest/services/OPENDATA/SociedadBienestar/MapServer/0/query?where=1=1&outFields=*&f=json,JSON,contexto,contexto,contexto=barri,Els servicis socials de l’Ajuntament de València atenen amb un àmbit geogràfic (districte i barri). El mapa mostra les zones d’actuació dels  Centres Municipals de Servicis Socials.    Font: Geoportal https://geoportal.valencia.es/apps/GeoportalHome/es/inicio/geodatos-abiertos
356d056f-f16c-4819-8d0a-e19e1dc54702,t248652-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Sueca, amb carrer Dénia",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248652-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248652-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Sueca, amb carrer Dénia (T248652). La seua ubicació exacta és: 39.4628376, -0.37588849999997365.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcionat per la plataforma"
