rank,barrio,plantas,anio,altura_m,uso,riesgo,tiempo_llegada_min,parque_cercano,ref,lon,lat
89,CAMPANAR,12,2001,36,1_residential,37.2,2.8,Parque de Bomberos Campanar,3931802YJ2733B,-0.39846,39.47682
90,PENYA-ROJA,14,2006,42,4_2_retail,37.2,3.6,Parque Central de Bomberos,8410701YJ2781B,-0.34603,39.45618
91,SANT LLORENS,13,2010,39,4_1_office,37.1,4.0,Parque de Bomberos Norte,6951302YJ2765B,-0.36274,39.49536
92,PENYA-ROJA,13,2002,39,1_residential,37.1,3.6,Parque Central de Bomberos,8312711YJ2781A,-0.34655,39.45873
93,BENICALAP,14,2008,42,1_residential,37.0,2.9,Parque de Bomberos Campanar,3649303YJ2734H,-0.40083,39.49356
94,EL PLA DEL REMEI,10,2012,30,1_residential,36.9,3.5,Parque de Bomberos Norte,6625302YJ2762F,-0.36588,39.47116
95,SANT LLORENS,10,2003,30,1_residential,36.8,3.7,Parque de Bomberos Norte,6950701YJ2765B,-0.36187,39.49386
96,PENYA-ROJA,13,2002,39,1_residential,36.8,3.5,Parque Central de Bomberos,8314103YJ2781C,-0.34745,39.45963
97,LA PUNTA,13,2012,39,1_residential,36.6,4.7,Parque Central de Bomberos,9005205YJ2790E,-0.3398,39.45188
98,PENYA-ROJA,13,2006,39,1_residential,36.6,3.4,Parque Central de Bomberos,8212608YJ2781A,-0.34785,39.45901
99,PENYA-ROJA,14,2002,42,1_residential,36.5,4.0,Parque Central de Bomberos,8611206YJ2781B,-0.34384,39.45733
100,SANT PAU,13,2008,39,1_residential,36.4,1.4,Parque de Bomberos Campanar,3237601YJ2733E,-0.40461,39.48249
101,CAMPANAR,11,2002,33,1_residential,36.4,2.5,Parque de Bomberos Campanar,3732601YJ2733B,-0.39973,39.47827
102,PENYA-ROJA,13,2004,39,1_residential,36.3,3.3,Parque Central de Bomberos,8214206YJ2781C,-0.34908,39.45998
103,PENYA-ROJA,13,2000,39,1_residential,36.3,3.3,Parque Central de Bomberos,8112601YJ2781C,-0.34878,39.45918
104,PENYA-ROJA,13,2003,39,1_residential,36.2,3.9,Parque Central de Bomberos,8611209YJ2781B,-0.34467,39.45747
105,PENYA-ROJA,13,2004,39,4_2_retail,36.2,3.2,Parque Central de Bomberos,8114205YJ2781C,-0.34955,39.46011
106,PENYA-ROJA,11,2006,33,4_2_retail,36.2,2.9,Parque Central de Bomberos,7915814YJ2771D,-0.3528,39.46096
107,LA PUNTA,12,2014,36,4_1_office,36.1,5.3,Parque Central de Bomberos,9307110YJ2790E,-0.33536,39.45364
108,PENYA-ROJA,13,2003,39,1_residential,36.1,3.2,Parque Central de Bomberos,8112604YJ2781C,-0.34917,39.45846
109,PENYA-ROJA,13,2001,39,1_residential,35.9,3.1,Parque Central de Bomberos,8012502YJ2781C,-0.35009,39.4595
110,PENYA-ROJA,12,2000,36,1_residential,35.5,3.8,Parque Central de Bomberos,8508401YJ2780H,-0.34517,39.45526
111,PENYA-ROJA,13,2004,39,1_residential,35.4,3.5,Parque Central de Bomberos,8312701YJ2781A,-0.34699,39.45882
112,CIUTAT DE LES ARTS I DE LES CIENCIES,18,2010,54,1_residential,35.4,1.6,Parque Central de Bomberos,7106203YJ2770E,-0.36156,39.45347
113,CIUTAT DE LES ARTS I DE LES CIENCIES,15,2002,45,1_residential,35.4,2.0,Parque Central de Bomberos,7407901YJ2770E,-0.35787,39.45445
114,SANT LLORENS,10,2003,30,1_residential,35.3,3.7,Parque de Bomberos Norte,6547403YJ2764F,-0.36769,39.49098
115,SANT PAU,14,2008,42,,34.9,1.6,Parque de Bomberos Campanar,3537801YJ2733F,-0.40238,39.4826
116,PENYA-ROJA,10,2000,30,1_residential,34.9,3.5,Parque Central de Bomberos,8409801YJ2780G,-0.3467,39.45589
117,PENYA-ROJA,12,2003,36,1_residential,34.9,3.5,Parque Central de Bomberos,8314102YJ2781C,-0.3473,39.4598
118,CIUTAT DE LES ARTS I DE LES CIENCIES,12,2000,36,1_residential,34.8,1.9,Parque Central de Bomberos,7306501YJ2770E,-0.35845,39.45391
119,PENYA-ROJA,10,2004,30,4_2_retail,34.8,3.5,Parque Central de Bomberos,8311701YJ2781A,-0.34705,39.45735
120,SANT PAU,15,2002,45,1_residential,34.8,2.6,Parque de Bomberos Campanar,3647201YJ2734F,-0.40106,39.49153
121,SANT PAU,13,2003,39,1_residential,34.6,2.5,Parque de Bomberos Campanar,3646201YJ2734F,-0.40045,39.49083
122,SANT PAU,10,2001,30,1_residential,34.4,1.8,Parque de Bomberos Campanar,3335902YJ2733E,-0.40445,39.48044
123,SANT PAU,10,2009,30,1_residential,34.4,1.4,Parque de Bomberos Campanar,3237602YJ2733E,-0.40552,39.48256
124,SANT PAU,10,2007,30,1_residential,34.4,1.5,Parque de Bomberos Campanar,3437701YJ2733E,-0.40393,39.48204
125,PENYA-ROJA,13,2000,39,1_residential,34.3,3.1,Parque Central de Bomberos,8012501YJ2781C,-0.35053,39.45959
126,PENYA-ROJA,13,2002,39,1_residential,34.3,3.1,Parque Central de Bomberos,8012505YJ2781C,-0.35008,39.45865
127,PENYA-ROJA,14,2000,42,1_residential,34.3,3.1,Parque Central de Bomberos,8012506YJ2781C,-0.35025,39.45873
128,SANT PAU,14,2002,42,1_residential,34.3,2.4,Parque de Bomberos Campanar,3745201YJ2734F,-0.39982,39.4895
129,PENYA-ROJA,13,2010,39,1_residential,34.2,3.0,Parque Central de Bomberos,8012507YJ2781C,-0.35044,39.45882
130,PENYA-ROJA,13,2000,39,1_residential,34.1,3.0,Parque Central de Bomberos,8012508YJ2781C,-0.35068,39.45899
131,SANT PAU,10,2003,30,1_residential,34.1,2.5,Parque de Bomberos Campanar,3531201YJ2733B,-0.40276,39.47704
132,SANT PAU,18,2002,54,1_residential,33.8,2.8,Parque de Bomberos Campanar,3430701YJ2733A,-0.40318,39.47551
133,PENYA-ROJA,11,2007,33,4_2_retail,33.7,3.7,Parque Central de Bomberos,8411508YJ2781A,-0.34588,39.4578
134,SANT PAU,14,2006,42,1_residential,33.4,1.4,Parque de Bomberos Campanar,3340601YJ2734A,-0.40363,39.48528
135,SANT PAU,14,2007,42,1_residential,33.4,1.4,Parque de Bomberos Campanar,3341201YJ2734A,-0.40508,39.48655
136,SANT PAU,15,2007,45,1_residential,33.4,1.3,Parque de Bomberos Campanar,3341202YJ2734A,-0.40468,39.48574
137,CIUTAT DE LES ARTS I DE LES CIENCIES,14,2001,42,1_residential,32.4,1.9,Parque Central de Bomberos,7409801YJ2770G,-0.35776,39.45596
138,CAMPANAR,15,2002,45,1_residential,32.1,3.0,Parque de Bomberos Campanar,3931701YJ2733B,-0.39745,39.47655
139,CAMPANAR,14,2001,42,1_residential,32.0,2.9,Parque de Bomberos Campanar,3931801YJ2733B,-0.3978,39.47672
140,CIUTAT DE LES ARTS I DE LES CIENCIES,11,2011,33,1_residential,32.0,1.7,Parque Central de Bomberos,7106204YJ2770E,-0.36179,39.45323
141,CAMPANAR,14,2000,42,1_residential,31.8,2.8,Parque de Bomberos Campanar,3931102YJ2733B,-0.39782,39.47729
142,SANT LLORENS,10,2007,30,1_residential,31.8,3.5,Parque de Bomberos Norte,6647101YJ2764F,-0.36637,39.49043
143,SANT PAU,11,2000,33,1_residential,31.8,2.2,Parque de Bomberos Campanar,3634401YJ2733D,-0.40005,39.4803
144,SANT PAU,10,2008,30,1_residential,31.4,2.0,Parque de Bomberos Campanar,3233901YJ2733C,-0.40538,39.47922
145,SANT PAU,10,2008,30,1_residential,31.4,1.6,Parque de Bomberos Campanar,3342601YJ2734A,-0.40327,39.4868
146,MALILLA,10,2001,30,1_residential,31.2,2.7,Parque Central de Bomberos,6202404YJ2760A,-0.37147,39.45004
147,CIUTAT DE LES ARTS I DE LES CIENCIES,17,2001,51,1_residential,31.2,2.1,Parque Central de Bomberos,7407902YJ2770E,-0.35654,39.45473
148,SANT PAU,14,2003,42,1_residential,30.9,2.8,Parque de Bomberos Campanar,3549201YJ2734H,-0.40246,39.49335
149,CIUTAT DE LES ARTS I DE LES CIENCIES,16,2000,48,4_2_retail,30.9,2.0,Parque Central de Bomberos,7408501YJ2770G,-0.35743,39.45566
150,SANT PAU,10,2001,30,1_residential,30.8,2.4,Parque de Bomberos Campanar,3744601YJ2734D,-0.39949,39.48927
151,SANT PAU,13,2001,39,1_residential,30.7,2.7,Parque de Bomberos Campanar,3548401YJ2734H,-0.40211,39.49284
152,SANT PAU,14,2004,42,4_1_office,30.4,2.6,Parque de Bomberos Campanar,3548701YJ2734H,-0.40122,39.49186
153,CIUTAT DE LES ARTS I DE LES CIENCIES,14,2013,42,1_residential,30.2,2.3,Parque Central de Bomberos,7203908YJ2770C,-0.36055,39.45021
154,SANT PAU,10,2005,30,1_residential,26.9,1.5,Parque de Bomberos Campanar,3541902YJ2734A,-0.40317,39.48581
