barrio,n_edificios,riesgo_medio,riesgo_p75,riesgo_p90,altura_media,plantas_media,anio_mediano,dist_parque_media,tiempo_llegada_medio,densidad,vulnerab,pct_con_sensible
POBLE NOU,832,41.2,43.1,44.29,5.37,1.79,1940.0,2932.11,6.08,321.0,,2.4
BENICALAP,8685,40.87,43.1,44.6,13.27,4.42,1977.0,1530.83,3.65,21522.0,25.0,84.62
EL MERCAT,2704,40.87,42.5,44.5,13.64,4.55,1910.0,495.05,1.86,32021.0,55.0,35.13
LA SEU,2073,40.69,42.6,44.1,12.03,4.01,1900.0,442.43,1.77,18455.0,50.0,96.91
EL CARME,3216,40.04,42.0,43.5,11.34,3.78,1929.0,205.97,1.36,21082.0,35.0,99.91
EL BOTANIC,3206,39.87,41.8,42.7,11.77,3.92,1936.0,625.06,2.08,20334.0,45.0,90.99
EXPOSICIO,1580,39.82,41.3,42.9,17.21,5.74,1970.0,865.97,2.5,16538.0,50.0,98.04
NA ROVELLA,764,39.44,42.4,44.61,16.96,5.65,1977.0,669.36,2.16,11466.0,70.0,77.75
LA XEREA,2965,39.21,42.0,43.4,13.06,4.35,1930.0,836.38,2.45,16515.0,45.0,63.07
FAVARA,1014,38.84,40.6,42.4,11.67,3.89,1977.0,1190.35,3.06,11702.0,55.0,88.36
MESTALLA,2893,38.59,40.5,41.6,18.04,6.01,1974.0,1063.24,2.84,17621.0,35.0,92.15
LA PUNTA,2565,38.42,40.5,44.3,8.62,2.87,1950.0,2129.2,4.69,692.0,50.0,13.84
SAFRANAR,1483,38.05,39.9,41.9,17.1,5.7,1998.0,794.0,2.38,20430.0,50.0,65.21
SANT FRANCESC,4613,37.94,40.3,42.4,15.59,5.2,1940.0,956.04,2.66,19339.0,45.0,38.39
CIUTAT UNIVERSITARIA,513,36.56,39.2,40.7,21.25,7.08,1972.0,430.96,1.75,10086.0,45.0,87.52
CAMI DE VERA,671,36.5,38.6,40.1,16.1,5.37,1980.0,921.69,2.6,5658.0,50.0,69.15
VARA DE QUART,1450,36.18,38.4,40.0,14.01,4.67,1977.0,892.28,2.55,8212.0,50.0,69.86
MALILLA,3588,35.42,38.0,39.9,19.34,6.45,1993.0,1406.39,3.44,8976.0,30.0,50.14
PENYA-ROJA,1993,35.11,37.6,39.5,23.58,7.86,2002.0,1285.63,3.23,12681.0,25.0,57.3
BENIFERRI,505,34.24,35.9,40.0,8.12,2.71,2003.0,1223.42,3.12,1792.0,,78.81
EL SALER,1754,33.92,37.2,44.2,9.4,3.13,1978.0,1621.26,3.81,476.0,,12.09
SANT LLORENS,1731,33.85,36.5,37.4,17.78,5.93,2003.0,1440.92,3.5,6076.0,10.0,73.95
CAMPANAR,2557,33.09,34.9,36.9,14.34,4.78,1976.0,898.19,2.56,10927.0,10.0,89.13
LA CARRASCA,1256,31.86,34.1,37.3,14.01,4.67,1950.0,1163.0,3.02,1855.0,10.0,44.82
CIUTAT DE LES ARTS I DE LES CIENCIES,1607,31.55,34.8,36.12,27.96,9.32,2006.0,654.64,2.13,8854.0,25.0,50.16
SANT PAU,3135,30.26,32.0,33.46,20.31,6.77,2003.0,582.6,2.01,3806.0,0.0,86.09
