localId,anio_construccion,anio_ultima_reforma,uso
000304900YJ26H,1920,1920,4_2_retail
000305000YJ26F,1980,1980,1_residential
000305000YJ26H,1910,1910,1_residential
000305100YJ26F,1900,1900,1_residential
000305100YJ26H,1880,1880,3_industrial
000305200YJ26F,1989,2000,3_industrial
000305200YJ26H,1890,1890,3_industrial
000305300YJ26F,1940,1940,1_residential
000305300YJ26H,1910,1985,1_residential
000305400YJ26H,1930,1930,1_residential
000305500YJ26F,1920,1920,1_residential
000305500YJ26H,1920,1920,1_residential
000305600YJ26F,1920,1920,1_residential
000305600YJ26H,1900,1900,1_residential
000305700YJ26F,1940,1940,1_residential
000305700YJ26H,1890,2006,1_residential
000305800YJ26F,1940,1940,1_residential
000305800YJ26H,1930,1930,1_residential
000305900YJ26F,1940,1940,1_residential
000305900YJ26H,1930,1930,3_industrial
000306000YJ26F,1975,1975,3_industrial
000306000YJ26H,1925,1925,1_residential
000306100YJ26H,1925,1925,1_residential
000306200YJ26H,1920,1920,1_residential
000306300YJ26H,1920,1920,1_residential
000306400YJ26H,1925,2004,1_residential
000306500YJ26H,1925,1995,1_residential
000306600YJ26H,1880,1880,1_residential
000306700YJ26H,1920,1920,1_residential
000306800YJ26H,1930,1930,1_residential
000306900YJ26H,1925,1925,1_residential
000307000YJ26H,1920,1920,3_industrial
000307100YJ26H,1935,1935,1_residential
000307200YJ26H,1880,1880,1_residential
000307300YJ26F,1900,1900,1_residential
000307400YJ26F,1960,1985,3_industrial
000307500YJ26F,1900,1900,1_residential
000307500YJ26H,1890,1995,1_residential
000307600YJ26F,1900,1900,1_residential
000307700YJ26F,1960,1960,1_residential
000307700YJ26H,1915,1915,1_residential
000307800YJ26H,1890,1890,1_residential
000307900YJ26H,1925,1925,1_residential
000308000YJ26H,1890,1890,1_residential
000308100YJ26H,1920,1920,1_residential
000308200YJ26H,1900,1900,1_residential
000308300YJ26H,1900,1900,1_residential
000308400YJ26H,1930,1930,1_residential
000308500YJ26H,1960,2015,3_industrial
000308600YJ26H,1900,1900,1_residential
000308700YJ26H,1920,1920,1_residential
000308800YJ26H,1920,1920,1_residential
000308900YJ26F,1900,1985,1_residential
000308900YJ26H,1940,1940,1_residential
000309000YJ26F,1900,1900,1_residential
000309000YJ26H,1900,1900,1_residential
000309100YJ26F,1900,1985,1_residential
000309100YJ26H,1880,1980,1_residential
000309200YJ26F,1900,1995,1_residential
000309200YJ26H,1975,1975,1_residential
000309300YJ26F,1900,1980,1_residential
000309300YJ26H,1960,1960,1_residential
000309400YJ26F,1900,1900,1_residential
000309400YJ26H,1890,1890,1_residential
000309500YJ26F,1965,1965,1_residential
000309500YJ26H,1890,1890,3_industrial
000309600YJ26F,1940,1980,1_residential
000309600YJ26H,1890,1890,1_residential
000309700YJ26F,1940,1940,1_residential
000309700YJ26H,1905,1905,1_residential
000309800YJ26F,1940,1995,1_residential
000309800YJ26H,1900,1900,1_residential
000309900YJ26F,1940,1995,1_residential
000309900YJ26H,1900,1995,1_residential
000310000YJ26F,1940,1940,1_residential
000310000YJ26H,1890,1890,1_residential
000310100YJ26F,1940,1940,1_residential
000310100YJ26H,1978,1978,3_industrial
000310200YJ26F,1900,1900,1_residential
000310200YJ26H,1890,1890,1_residential
000310300YJ26F,1900,1900,1_residential
000310300YJ26H,1880,1880,1_residential
000310400YJ26F,1960,1990,1_residential
000310400YJ26H,1984,1984,3_industrial
000310500YJ26H,,,
000310600YJ26H,1955,1955,3_industrial
000310700YJ26H,1990,1990,1_residential
000310800YJ26H,1915,1915,1_residential
000310900YJ26H,1910,1910,1_residential
000311000YJ26H,1900,1900,1_residential
000311100YJ26F,1998,2006,3_industrial
000311100YJ26H,1950,1950,1_residential
000311200YJ26F,1998,2000,1_residential
000311200YJ26H,1945,1945,3_industrial
000311300YJ26F,1998,1998,1_residential
000311300YJ26H,1935,1935,1_residential
000311400YJ26H,1880,1880,1_residential
000311500YJ26H,1880,1880,1_residential
000311600YJ26H,1910,1910,1_residential
000311700YJ26H,1910,1993,1_residential
000311900YJ26H,1980,2010,3_industrial
000312000YJ26H,1870,1870,1_residential
000312100YJ26H,1910,1910,1_residential
000312200YJ26F,2001,2001,3_industrial
000312200YJ26H,1910,1910,1_residential
000312300YJ26F,1993,1993,3_industrial
000312300YJ26H,1920,1920,1_residential
000312400YJ26H,1925,1925,1_residential
000312500YJ26H,1870,1870,1_residential
000312700YJ26F,2004,2004,3_industrial
000312700YJ26H,1970,1970,1_residential
000312800YJ26F,1985,1985,1_residential
000312800YJ26H,1960,1960,1_residential
000312900YJ26F,1960,1960,1_residential
000312900YJ26H,1890,1890,1_residential
000313000YJ26F,1994,1994,1_residential
000313000YJ26H,1890,1890,1_residential
000313100YJ26F,1900,1900,1_residential
000313100YJ26H,1978,1978,3_industrial
000313200YJ26F,1930,1930,3_industrial
000313200YJ26H,1900,1900,1_residential
000313300YJ26F,1976,1976,3_industrial
000313300YJ26H,1880,2012,1_residential
000313400YJ26F,1978,1978,1_residential
000313400YJ26H,1950,1950,1_residential
000313500YJ26F,1995,1995,1_residential
000313500YJ26H,1890,1890,1_residential
000313700YJ26H,1985,1985,1_residential
000313800YJ26H,1890,1890,1_residential
000314100YJ26H,1995,2010,1_residential
000314300YJ26H,1996,2012,3_industrial
000314400YJ26H,1998,2012,3_industrial
000315200YJ26H,2012,2012,3_industrial
000315300YJ26H,1960,1960,3_industrial
000316000YJ26H,1960,1980,1_residential
000316100YJ26H,1980,1980,1_residential
000316200YJ26H,1935,2010,4_3_publicServices
000400100YJ26F,1920,1920,1_residential
000400100YJ26H,1923,1923,1_residential
000400100YJ27D,1945,1945,1_residential
000400100YJ27G,1950,1950,1_residential
000400100YJ35G,1955,1955,1_residential
000400200YJ26F,1950,1950,1_residential
000400200YJ26G,1900,1900,1_residential
000400200YJ26H,1910,1910,3_industrial
000400200YJ27E,1910,2007,1_residential
000400200YJ35C,1970,1980,3_industrial
000400300YJ26F,1950,1950,1_residential
000400300YJ26G,1900,1900,1_residential
000400300YJ26H,1912,1912,1_residential
000400300YJ27G,1950,1950,1_residential
000400300YJ35C,1955,1995,1_residential
000400400YJ26F,1945,1985,1_residential
000400400YJ26G,1900,1900,1_residential
